timestamp,value,is_anomaly
1748732760,1.56,0
1748732880,1.03,0
1748733000,1.8,0
1748733120,0.942,0
1748733240,1.11,0
1748733360,1.0,0
1748733480,1.0,0
1748733600,1.32,0
1748733720,1.62,0
1748733840,1.17,0
1748733960,0.907,0
1748734080,1.23,0
1748734200,1.17,0
1748734320,1.18,0
1748734440,1.09,0
1748734560,1.02,0
1748734680,0.904,0
1748734800,1.26,0
1748734920,1.02,0
1748735040,1.01,0
1748735160,1.43,0
1748735280,0.956,0
1748735400,1.07,0
1748735520,1.08,0
1748735640,0.953,0
1748735760,1.42,0
1748735880,1.11,0
1748736000,0.966,0
1748736120,0.876,0
1748736240,0.978,0
1748736360,0.951,0
1748736480,1.01,0
1748736600,0.962,0
1748736720,0.942,0
1748736840,1.12,0
1748736960,1.22,0
1748737080,1.13,0
1748737200,1.18,0
1748737320,1.18,0
1748737440,1.05,0
1748737560,1.01,0
1748737680,1.09,0
1748737800,1.03,0
1748737920,1.06,0
1748738040,0.997,0
1748738160,0.911,0
1748738280,1.16,0
1748738400,1.03,0
1748738520,1.02,0
1748738640,1.06,0
1748738760,1.74,0
1748738880,1.04,0
1748739000,1.02,0
1748739120,1.05,0
1748739240,1.02,0
1748739360,1.29,0
1748739480,0.955,0
1748739600,1.14,0
1748739720,0.887,0
1748739840,1.25,0
1748739960,0.911,0
1748740080,1.47,0
1748740200,1.13,0
1748740320,1.05,0
1748740440,1.15,0
1748740560,1.12,0
1748740680,0.958,0
1748740800,1.06,0
1748740920,1.09,0
1748741040,1.02,0
1748741160,1.18,0
1748741280,1.12,0
1748741400,0.967,0
1748741520,1.29,0
1748741640,1.21,0
1748741760,1.02,0
1748741880,0.959,0
1748742000,1.06,0
1748742120,1.08,0
1748742240,1.05,0
1748742360,0.908,0
1748742480,1.16,0
1748742600,0.975,0
1748742720,1.11,0
1748742840,0.919,0
1748742960,0.959,0
1748743080,1.05,0
1748743200,1.03,0
1748743320,1.16,0
1748743440,1.05,0
1748743560,1.11,0
1748743680,1.0,0
1748743800,0.869,0
1748743920,0.798,0
1748744040,0.904,0
1748744160,0.877,0
1748744280,0.962,0
1748744400,1.1,0
1748744520,1.13,0
1748744640,1.03,0
1748744760,1.15,0
1748744880,1.1,0
1748745000,0.994,0
1748745120,0.965,0
1748745240,1.06,0
1748745360,1.01,0
1748745480,1.0,0
1748745600,1.62,0
1748745720,0.892,0
1748745840,1.05,0
1748745960,0.981,0
1748746080,1.22,0
1748746200,1.08,0
1748746320,1.1,0
1748746440,1.19,0
1748746560,0.917,0
1748746680,1.08,0
1748746800,0.842,0
1748746920,0.952,0
1748747040,1.15,0
1748747160,1.07,0
1748747280,1.02,0
1748747400,1.04,0
1748747520,0.881,0
1748747640,0.886,0
1748747760,0.917,0
1748747880,1.04,0
1748748000,1.18,0
1748748120,1.2,0
1748748240,1.17,0
1748748360,1.02,0
1748748480,1.01,0
1748748600,1.0,0
1748748720,1.13,0
1748748840,1.77,0
1748748960,1.03,0
1748749080,1.11,0
1748749200,1.05,0
1748749320,1.01,0
1748749440,1.17,0
1748749560,1.04,0
1748749680,1.08,0
1748749800,1.15,0
1748749920,1.07,0
1748750040,0.95,0
1748750160,1.05,0
1748750280,1.22,0
1748750400,1.04,0
1748750520,0.992,0
1748750640,1.08,0
1748750760,0.944,0
1748750880,0.948,0
1748751000,1.16,0
1748751120,0.983,0
1748751240,0.912,0
1748751360,1.06,0
1748751480,0.949,0
1748751600,1.36,0
1748751720,1.09,0
1748751840,0.958,0
1748751960,0.942,0
1748752080,1.57,0
1748752200,0.908,0
1748752320,1.11,0
1748752440,1.02,0
1748752560,1.05,0
1748752680,0.992,0
1748752800,1.09,0
1748752920,1.12,0
1748753040,0.98,0
1748753160,0.954,0
1748753280,0.958,0
1748753400,1.04,0
1748753520,0.882,0
1748753640,0.953,0
1748753760,0.973,0
1748753880,1.37,0
1748754000,1.08,0
1748754120,0.914,0
1748754240,0.899,0
1748754360,0.982,0
1748754480,1.13,0
1748754600,1.04,0
1748754720,1.16,0
1748754840,1.14,0
1748754960,0.88,0
1748755080,1.04,0
1748755200,1.03,0
1748755320,1.1,0
1748755440,0.834,0
1748755560,0.951,0
1748755680,1.21,0
